aadhaar_id,full_name,dob,age,gender,address,pincode,income_certificate_id,annual_income,issue_date,valid_until,issuing_authority,state,caste_category,mobile
27275916349.0,Sachi Dugar,11/11/1960,65,Female,"044, Ganguly Street, Rajpur Sonarpur 379715",765791,6da44fc6-63f9-471a-b39f-55a58b4cae47,860857,14/10/2023,13/10/2024,Revenue Department,Karnataka,OBC,9070677407
703202000000.0,Wriddhish Rout,17/09/1960,65,Male,"735, Choudhary Chowk, Bhalswa Jahangir Pur 702691",141272,04e355f7-331c-4d65-87dc-bab48b4a39d5,1000000000,22/11/2023,21/11/2024,District Magistrate,Rajasthan,General,9841219964
968140000000.0,Girindra Mann,07/07/1979,46,Other,"83/671, Balay Road, Ahmednagar-422732",936906,109ca3a4-cc33-4877-8548-432c3da40754,573650,23/05/2023,22/05/2024,Tehsildar,Gujarat,SC,9247269885
976345000000.0,Ati Rao,28/06/1966,59,Other,"H.No. 76, Lad Path, Ghaziabad-833516",690550,52b39915-991f-4f28-aaa4-4639b00f3e70,561301,05/08/2022,05/08/2023,Tehsildar,Mizoram,General,9720641348
917741000000.0,Urishilla Bail,09/11/1991,34,Male,"55, Walla Ganj, Hazaribagh 1500000",563212,1e1f7464-0dd9-4ea8-897d-1c1ff91b042f,691702,21/11/2022,21/11/2023,District Magistrate,Tripura,General,9257000008
567279000000.0,Mugdha Kala,20/11/1969,56,Female,"725, Saha Marg, Anantapuram 258100",485965,20aba7b8-86bc-4724-9042-fbfb5d1cef9b,728528,31/07/2024,31/07/2025,Tehsildar,Gujarat,General,9242430556
26626825130.0,Aryan Dave,02/01/1955,70,Male,"H.No. 95, Master Street, Kota-112386",177637,7bfab9b0-990e-4605-b11b-5e29db8cfbb0,371352,30/03/2025,30/03/2026,District Magistrate,Meghalaya,SC,9296784739
841904000000.0,Darsh Subramanian,08/03/1994,31,Other,"303, Borde Chowk, Kadapa 740070",11395,f10b6b66-f21c-487f-806b-70249d313380,373992,25/07/2023,24/07/2024,Tehsildar,Himachal Pradesh,SC,9722574963
481498000000.0,Lakshmi Sami,06/09/1980,45,Male,"77/77, Murthy Path, Varanasi-835904",73898,7da5ace6-06ce-4acb-aea4-fe512dc0319a,918361,01/04/2023,31/03/2024,District Magistrate,Odisha,OBC,9100661575
10060973862.0,Indira Tella,09/06/2005,20,Male,"64/13, Dubey, Hindupur 849410",53819,c5da2dfb-52cb-4784-94c2-05fa261559e1,579485,30/11/2024,30/11/2025,Tehsildar,Bihar,SC,9094218132
878719000000.0,Balendra Khosla,10/05/1959,66,Male,"H.No. 996, Shanker Chowk, Dhanbad-052361",650743,3dbc9c03-a091-416c-83f6-11f1ce469081,916065,15/04/2024,15/04/2025,Revenue Department,Jharkhand,General,9717518622
51368677397.0,Wakeeta Bath,22/10/1965,60,Female,"H.No. 29, Pillay Street, Bareilly 919654",728889,25b9e095-d2e3-455e-a448-4da5066c7b90,952896,13/09/2024,13/09/2025,Tehsildar,Haryana,General,9849464023
527601000000.0,Zaitra Goda,07/06/1989,36,Male,"H.No. 79, Dutta Circle, Bikaner 711165",870890,e1e8e3ed-77e0-46f4-b374-d464fd0e2ba5,731532,13/06/2023,12/06/2024,District Magistrate,Uttar Pradesh,OBC,9308793853
135278000000.0,Ekavir Contractor,23/11/1994,31,Female,"538, Mander Marg, Asansol 955308",39319,329add60-c162-45c2-8105-b04bab9af263,540400,19/03/2024,19/03/2025,Tehsildar,Rajasthan,OBC,9992145032
110008000000.0,Ronith Gala,23/02/1958,67,Male,"69/877, Char Nagar, Hyderabad 825081",420443,d1eebd2f-9a5b-4a8c-88dd-2a702a56aded,913461,11/01/2023,11/01/2024,Revenue Department,Goa,SC,9401501143
211839000000.0,Yashoda Das,30/06/1976,49,Other,"05, Sachdev Street, Ambala-755507",554055,52873a20-4b73-4222-91d0-3b251fefde80,675870,25/10/2022,25/10/2023,Revenue Department,Meghalaya,General,9778388192
598351000000.0,Unni Kaul,29/07/1978,47,Male,"84, Venkatesh Ganj, Alwar-058913",538305,46fec1ab-c812-408c-ac34-dc0e7049d0f7,873607,01/01/2025,01/01/2026,Revenue Department,Arunachal Pradesh,OBC,9199897077
298038000000.0,Rachana Sood,23/02/1992,33,Other,"89/794, Narain Ganj, Malda 259404",676928,202830fb-aa5c-433f-90fa-e292b54c7671,289050,14/07/2022,14/07/2023,District Magistrate,Manipur,ST,9715378730
790673000000.0,Omisha Aurora,18/02/1975,50,Male,"175, Deshmukh Chowk, South Dumdum 161230",597650,524545ef-74f4-49ee-b034-a6170fe35ecb,410607,04/01/2024,03/01/2025,District Magistrate,Nagaland,ST,9359124242
610733000000.0,Zehaan Prasad,17/03/1996,29,Male,"75/71, Bhagat Street, Pallavaram 488243",514726,0c414f32-a880-4bbf-a9cc-4f8653ad58eb,110083,26/01/2024,25/01/2025,District Magistrate,Jharkhand,OBC,9124598136
711181000000.0,Libni Bhattacharyya,05/05/1975,50,Male,"H.No. 531, Bala, Faridabad-344648",929361,3e5c416b-d641-42a3-80eb-b3bd9c84990c,870953,15/01/2025,15/01/2026,Tehsildar,Maharashtra,SC,9739611341
614687000000.0,Rishi Mallick,22/05/1956,69,Other,"H.No. 90, Manne Street, Srinagar-873767",215579,6c0a7c61-376f-4ddd-b0a1-93991c99dedd,366454,30/01/2025,30/01/2026,Revenue Department,Maharashtra,SC,9403713710
2589630640.0,Damini Soni,28/02/1976,49,Male,"75/10, Khatri Zila, Mau 482335",584108,423e5132-8ccc-4cf4-ab70-e784aaffe68a,696573,21/05/2023,20/05/2024,Tehsildar,Jharkhand,SC,9549109691
564445000000.0,Edhitha Butala,11/10/1960,65,Female,"H.No. 46, Palla Marg, Satna-885072",378657,495f2b6f-4918-40b2-bbd5-07df48f37288,844382,25/08/2024,25/08/2025,District Magistrate,Odisha,OBC,9104981859
379061000000.0,Unni Dey,11/11/1977,48,Male,"400, Chandra Marg, Bilaspur 165158",222243,03c226d5-2ec7-46ec-9541-9788cbd22213,523155,07/02/2025,07/02/2026,Revenue Department,Manipur,OBC,9490781343
103011000000.0,Aradhana Mangat,14/06/1999,26,Female,"30, Grewal Path, Nangloi Jat-215158",280773,3d309cc7-5865-40d9-9afe-0353606ddbc7,686906,01/07/2023,30/06/2024,Revenue Department,Uttar Pradesh,ST,9989568038
19606906493.0,Chameli Jaggi,04/03/1990,35,Other,"12, Parmer Path, Nellore 009591",835933,719cc61c-45b1-4e3a-9e66-a310834730ce,447416,15/10/2023,14/10/2024,District Magistrate,Himachal Pradesh,SC,9121788821
830706000000.0,Azaan Samra,20/03/1975,50,Male,"H.No. 75, Parmar Chowk, Bhimavaram-664269",208635,8776c58f-2d6f-4ba8-8315-b8d823e0e56e,96059,31/10/2022,31/10/2023,Revenue Department,West Bengal,ST,9163261465
5511108384.0,Champak Gopal,27/03/1978,47,Other,"975, Kunda Circle, Nizamabad-435951",993816,325c2991-0816-4150-bb3e-4dfb0d4c30b2,883422,09/11/2022,09/11/2023,Tehsildar,Assam,General,9493828334
276083000000.0,Leena Choudhury,17/12/1978,47,Other,"933, Dani Circle, Bhagalpur-140041",273818,d03d18f0-b68a-4183-8e92-7478a3c8d84b,224137,23/12/2023,22/12/2024,District Magistrate,Andhra Pradesh,OBC,9609881194
853097000000.0,Luke Sibal,14/07/1986,39,Male,"H.No. 684, Dalal Zila, Ambattur 695122",95210,0ee3a708-e035-44c7-9a82-dd7f896892f6,174174,08/01/2024,07/01/2025,Revenue Department,Madhya Pradesh,ST,9774077104
523382000000.0,Leela Saha,14/11/1995,30,Female,"29/019, Merchant Marg, Chandigarh 972520",378231,cb684d66-f99c-4f59-a5c5-917f583ba6af,460403,27/12/2024,27/12/2025,Tehsildar,Karnataka,SC,9856984112
712791000000.0,Indira Muni,31/08/1989,36,Female,"11/08, Dani Path, Bongaigaon-699587",345706,0d808bd5-a7a8-43dc-b8fb-3808cd6f45ac,137843,06/07/2023,05/07/2024,Revenue Department,Karnataka,SC,9099877872
836994000000.0,Lakshmi Misra,28/03/2006,19,Male,"682, Narasimhan Path, Bathinda 923010",863608,9a00cb25-98f6-4602-adb1-a77ecb9b088f,543926,29/03/2025,29/03/2026,District Magistrate,Bihar,SC,9962866482
204884000000.0,Warinder Rastogi,15/11/1985,40,Other,"H.No. 02, Ganguly Marg, Silchar-813715",477605,0c608ad1-8f57-4d4f-a0eb-251b38870c47,606532,09/12/2023,08/12/2024,Tehsildar,Arunachal Pradesh,ST,9735682759
473445000000.0,Jagat Krishna,24/05/1978,47,Other,"61, Hora Road, Rajahmundry-696750",650006,2c9cbab2-c582-4906-8fe6-eca28ff622c5,932598,27/05/2024,27/05/2025,District Magistrate,Himachal Pradesh,OBC,9013736852
128975000000.0,Ati Pal,05/01/1986,39,Female,"89, Vohra Street, Saharanpur 844708",396078,482030f5-032f-4dc2-a887-2ef6f8827899,437035,03/03/2023,02/03/2024,District Magistrate,Sikkim,ST,9606143247
372521000000.0,Benjamin Ramachandran,10/05/1970,55,Other,"83, Sule Street, Noida 917661",743924,68e9be6f-0ea3-4b90-b8f3-d6ff325265b7,390454,04/05/2025,04/05/2026,Revenue Department,Sikkim,General,9752176733
717291000000.0,Alexander Kunda,25/11/1961,64,Other,"H.No. 032, Sandhu Nagar, Bulandshahr 814477",757030,1fd10429-299d-4948-b169-f5357f11a868,624889,19/05/2023,18/05/2024,Tehsildar,Odisha,OBC,9574524839
419458000000.0,Nakul Sachar,15/10/2005,20,Male,"15/934, Ahuja Circle, Ratlam 992185",142290,4c126f15-fd4a-47c2-a5e5-aa7b4beaef66,733948,12/07/2022,12/07/2023,Revenue Department,Kerala,General,9163409658
677642000000.0,Noah Mukhopadhyay,12/12/1980,45,Male,"54/04, Aggarwal Zila, Gorakhpur-351122",810046,0087cc5f-844e-472b-bf90-6004d1cfd8df,748575,16/12/2023,15/12/2024,Revenue Department,Karnataka,OBC,9389268852
646721000000.0,Nisha More,21/04/1993,32,Other,"28, Kumar Chowk, Sambhal-032251",116972,e1247055-4d83-4e78-a7cb-70d180b52f16,985803,19/09/2022,19/09/2023,Tehsildar,Mizoram,OBC,9081164540
251875000000.0,Tamanna Varma,31/10/1994,31,Other,"H.No. 66, Upadhyay Circle, Aizawl-403576",844435,83655b8c-4012-476a-accf-a328f2c9aa0f,221324,17/04/2024,17/04/2025,Tehsildar,Meghalaya,General,9237062275
567602000000.0,Sai Bhasin,18/09/1968,57,Male,"83/63, Magar Chowk, Saharanpur-736968",98096,512c6f72-fe87-4b1a-a214-ccbd153fa6a8,324707,17/03/2023,16/03/2024,Revenue Department,Himachal Pradesh,General,9334134094
866458000000.0,Ojas Anand,29/01/1993,32,Female,"13, Purohit Nagar, Rampur 885405",897079,a455a303-12f2-4d36-8966-b2ec78d34043,709753,21/10/2022,21/10/2023,Tehsildar,Nagaland,OBC,9884625539
324285000000.0,Utkarsh Hegde,06/11/1981,44,Other,"H.No. 27, Tata Circle, Tenali-173476",510774,bec52a15-6dec-42ee-b410-5955cfd2f694,822807,31/03/2023,30/03/2024,District Magistrate,Rajasthan,OBC,9809414590
579929000000.0,Kamya Dar,25/09/1963,62,Male,"973, Wali Street, Kollam-604553",158446,6a6f4977-5209-469b-8483-129da558d03f,172198,05/01/2024,04/01/2025,Tehsildar,Gujarat,SC,9559643711
704909000000.0,Divya Sengupta,21/07/1983,42,Other,"87, Das Circle, Asansol-140431",120591,24432639-a93f-4c70-8faf-cb8aedcc941d,504023,06/12/2023,05/12/2024,District Magistrate,Uttarakhand,General,9685305917
572067000000.0,Vansha Bhardwaj,06/10/1982,43,Female,"H.No. 501, Menon Circle, Phagwara-821363",772038,c505f91f-7688-4185-8417-0147a4d0df9e,502681,28/10/2024,28/10/2025,Revenue Department,Tamil Nadu,OBC,9285872380
444630000000.0,Madhavi Hayer,23/02/1976,49,Male,"21/43, Kibe Path, Ulhasnagar 868947",970310,54168198-1cc0-4322-8094-bb44aaf28567,87763,03/11/2023,02/11/2024,District Magistrate,Tripura,SC,9291763583
432561000000.0,Baghyawati Lala,18/08/2004,21,Female,"30/89, Banik, Begusarai-626597",633214,11d5e2b4-344a-437f-8028-6a59e871b190,497891,20/11/2024,20/11/2025,Tehsildar,Chhattisgarh,OBC,9856252464
770129000000.0,Robert Badal,27/09/1993,32,Female,"H.No. 029, Korpal Zila, Berhampur 608685",275948,a31d4453-611b-437c-8528-a7e47a8625f9,458010,19/10/2023,18/10/2024,District Magistrate,Tripura,SC,9279873038
40315010513.0,Farhan Chaudhary,30/03/1958,67,Other,"22, Patel Chowk, Patna 243853",708586,7ccf26af-c6ac-48b6-94fe-8fe2677ff13e,207238,23/06/2024,23/06/2025,District Magistrate,Tripura,ST,9625759108
980817000000.0,Pranit Kurian,19/03/1968,57,Female,"24/600, Chatterjee Road, Surat 782774",784613,32add291-9fd2-4053-b641-cce2b8f2ed1e,236685,02/06/2023,01/06/2024,District Magistrate,Uttar Pradesh,OBC,9378482011
699919000000.0,Harshil Apte,05/09/1965,60,Other,"H.No. 43, Ahuja Road, Unnao-791971",301941,13ca97f6-6743-497c-bb99-d6ff5f2b3044,533568,20/11/2024,20/11/2025,Revenue Department,Uttarakhand,OBC,9502801263
854657000000.0,Pavani Bhargava,19/06/1995,30,Male,"84/07, Sarna Street, Rewa 534834",76053,30498c56-313d-4e91-ab2c-a9ceafab1de4,741922,13/07/2022,13/07/2023,District Magistrate,Himachal Pradesh,SC,9837223756
845218000000.0,Vrinda Parikh,27/02/1992,33,Other,"03/348, Yohannan Nagar, Bulandshahr-512333",2826,8537c6d4-6df8-4d1f-9dfb-7a682cc4b2a8,151711,15/06/2023,14/06/2024,Revenue Department,Tripura,SC,9380879195
558321000000.0,Chatresh Upadhyay,13/12/2001,24,Male,"H.No. 751, Chawla Street, Tirupati-260047",160234,27e75e68-d979-4b16-87c0-f0fdb663d602,80997,30/12/2022,30/12/2023,Revenue Department,West Bengal,SC,9467949932
739416000000.0,Viraj Bhasin,05/02/1978,47,Female,"846, Prashad Path, Howrah 819931",517484,9f93146c-81fd-4bfb-854b-9b6d287f17d8,625474,24/08/2024,24/08/2025,Revenue Department,Haryana,ST,9411581998
786422000000.0,Dipta Trivedi,18/05/1998,27,Female,"918, Hora Nagar, Bulandshahr-476599",539654,28eeb290-4c2f-4385-a031-3fa5713a3956,133032,14/12/2022,14/12/2023,District Magistrate,Kerala,SC,9690297991
20474342091.0,Lopa Toor,22/06/1984,41,Male,"143, Sehgal Nagar, Hazaribagh 521497",226396,76437a86-a354-45cb-bdb9-69f5f33e580b,775186,28/12/2022,28/12/2023,Tehsildar,Madhya Pradesh,ST,9118363817
565089000000.0,Yatin Cheema,20/07/1969,56,Other,"H.No. 168, Mohanty Street, Thane-201392",463660,3d929e3f-3621-4f2c-9b8f-19652342572b,239618,11/12/2024,11/12/2025,Tehsildar,Telangana,OBC,9908078398
1783437350.0,Chatura Balay,22/03/2001,24,Other,"21/62, Hans Zila, Cuttack-437687",222441,9e7760df-81d5-4fff-84d8-dfd609190da1,710720,23/01/2023,23/01/2024,Tehsildar,Andhra Pradesh,General,9791405434
862277000000.0,Vidhi Dugar,01/07/1955,70,Female,"760, Devan Street, Allahabad 490038",596541,13c065a2-1350-4f16-8fc5-ed367a9ac052,714622,25/03/2023,24/03/2024,District Magistrate,Goa,SC,9698773611
788009000000.0,Baghyawati Apte,25/07/1996,29,Male,"H.No. 57, Sharaf Marg, Ozhukarai-295696",520732,33801286-a74a-4894-9048-f2dc139b2cf9,160456,24/11/2023,23/11/2024,Revenue Department,Telangana,ST,9227829835
